====================================================================================================================
DOC-ID|ATTRIBUTE-TYPE
403|NGA_RC|true|en|Nga Region|Nga Region
404|NGA_UFI|true|en|Nga Unique Feature Identifier|Nga Unique Feature Identifier
405|NGA_UNI|true|en|Nga Unique Name Identifier|Nga Unique Name Identifier
406|NGA_UTM|true|en|Nga Universal Transverse Mercator|Nga Universal Transverse Mercator
407|NGA_JOG|true|en|Nga Joint Operations Graphic|Nga Joint Operations Graphic
408|NGA_DSG|true|en|Nga Feature Designator|Nga Feature Designator
409|NGA_PC|true|en|Nga Populated Place Classification|Nga Populated Place Classification
410|NGA_CC1|true|en|Nga Primary Country Code|Nga Primary Country Code
411|NGA_ADM1|true|en|Nga First-Order Administrative Division|Nga First-Order Administrative Division
412|NGA_ADM2|true|en|Nga Second-Order Administrative Division|Nga Second-Order Administrative Division
413|NGA_DIM|true|en|Nga Dimension (Elevation Or Population)|Nga Dimension (Elevation Or Population)
414|NGA_CC2|true|en|Nga Secondary Country Code|Nga Secondary Country Code
415|NGA_MOD_DT|true|en|Nga Last Modified Date|Nga Last Modified Date
416|NGA_FC|true|en|Nga Feature Classification|Nga Feature Classification
417|NGA_MGRS|true|en|NGA Military Grid Reference System|Military Grid Reference System
418|PRI_REG|true|en|Primary Region|Primary Region
419|ALT_REG|true|en|Alternate Region|Alternate Region
420|NGA_CELL|true|en|NGA Cell Name|NGA Cell Name
421|NGA_FED|true|en|NGA Federal Status|NGA Federal Status
422|NGA_ELEV|true|en|Elevation|Elevation above sea level
423|NGA_POP|true|en|NGA Population|NGA Population
424|NGA_US|true|en|NGA Feature ID|NGA Feature ID
425|NGA_ST_CD|true|en|NGA State Code|NGA State Code
426|ISOCNTRY|true|en|ISO Country Code|ISO Country Code
427|ISOREG|true|en|ISO Region|ISO Region
428|ISOSUBDIV|true|en|ISO Subdivision|ISO Subdivision
429|LDS_TMPLST|true|en|LDS Temple Status|Operational status of an LDS Temple
430|INEGI|true|es|INEGI ID|Instituto Nacional de Estadística, Geografía e Informatica (INEGI)
431|NGA_ADM3|true|en|Nga Third-Order Administrative Division|Nga Third-Order Administrative Division
432|NGA_ADM4|true|en|Nga Fourth-Order Administrative Division|Nga Fourth-Order Administrative Division
433|FS_REG|true|en|FamilySearch Region|FamilySearch Region
474|WIKIPEDIA_LINK|true|cs|webová adresa článku ve Wikipedii|Adresa článku ve Wikipedii, který se vztahuje na dané místo.
474|WIKIPEDIA_LINK|true|en|Wikipedia link|Link to a relevant Wikipedia article.
479|POP|true|en|Population|Total population
479|POP|true|ru|население|Население жителей
504|FS_WIKI_LINK|true|en|FamilySearch Wiki Link|A link to a relevant FamilySearch's research article.
505|FS_CATALOG_LINK|true|en|FamilySearch Library Catalog Link|A link to relevant holdings in the FamilySearch Library Catalog.
506|WEB_LINK|true|en|Link to a website|Link to a website that describes additional information about a place.
507|INCORP_DATE|true|en|Incorporation Date|Date of incorporation.
513|NOTE|true|en|Note|Additional information about a place.
519|ELEV|false|en|Elevation|Elevation
====================================================================================================================
DOC-ID|CITATION-TYPE
459|PLACE|true|en|Place|Place
460|NAME|true|en|Name|Name
461|TYPE|true|en|Type|Type
462|JD|true|en|Jurisdiction|Jurisdiction
463|BNDRY|true|en|Boundary|Boundary
464|LOC|true|en|Location|LOCATION
465|ATTR|true|en|Attribute|Attribute
466|PLC_DATE|true|en|Place Date|Place Date
467|JD_DATE|true|en|Jurisdiction Date|Jurisdiction Date
====================================================================================================================
DOC-ID|EXT-XREF-TYPE
471|NGA_US_UFI|true|en|NGA_US_UFI|UFI ID from NGA for US places
472|NGA_INTL_UFI|true|en|NGA_INTL_UFI|UFI ID from NGA for international places
473|NGA_TERR_UFI|true|en|NGA_TERR_UFI|UFI ID from NGA for US territorial places
====================================================================================================================
DOC-ID|NAME-TYPE
434|SHORT|true|en|Standard Short Name|Standard Short Name
435|GENERIC|false|en|Generic Name|Generic Name
436|SORT|false|en|Sort Name|Sort Name
437|FULLN|true|en|Standard Full Name|Standard Full Name
438|NONDC|false|en|Nondiacritic Name|Nondiacritic Name
439|CONV|false|en|Conventional Name|Conventional Name
440|VAR|true|en|Variant Name|Variant Name
441|FULLD|false|en|Full Name Not Verified|Full Name Not Verified
442|US_STABRV|true|en|U.S. State Abbreviation|U.S. State Abbreviation, the standard two letter postal abbreviations. ID, CA, WY, etc.
443|OLD_STABRV|false|en|OLD_STATE_ABRV|Old U.S. State Abbreviations
444|ABRV|true|en|Abbreviation|Abbreviation
445|DSPLY|false|en|Common Pedigree Display Name|Standard Display Name
446|ISOCNTRYCD|true|en|ISO Country Code|ISO Country Code
447|ISO2LCD|true|en|ISO 2L Code|ISO Second Level Code
448|ISO3LCD|true|en|ISO 3L Code|ISO Third Level Code
449|ISONAME|false|en|ISO Name|ISO Name
450|LDS_5LTMPL|true|en|LDS 5 letter Temple Code|LDS 5 letter Temple Code
451|LDS_2LTMPL|true|en|LDS 2 letter Temple Code|LDS 2 letter Temple Code
452|LDS_OTHER|false|en|LDS Other Temple Code|LDS Other Temple Code, not the official 2 letter or 5 letter codes.
453|ODM_STD|false|en|ODM Standard Name|Standard Place name used in the Ordinance Data Management system or OLIB
454|ODM_VAR|false|en|ODM Variant Name|Variant Place name used in the Ordinance Data Management system
455|US_QUALIFIED|false|en|U.S. Qualified Name|NGA U.S. or Territory name with parenthetic qualifier
456|ETHNIC|true|en|Demonym|Ethnic variant, demonym
457|UND|false|en|Unvetted ODM Name Variant|Unvetted ODM Name Variant
458|COMMON|true|en|Common Name|Common Name, the "trump" card. This name type is only used to elevate a single instance of a commonly used name. "Paris" should return Paris, France and not Paris, Idaho, for example.
503|CHAPMAN CODE|true|en|Chapman Code|Chapman County Code used 1987 by British Standards Institution as a basis for the British Standard 6879 (rev. 1999), & the International Standards Organisation in Geneva when publishing ISO 3166-2.
511|ANGL|true|en|Anglicization|The English version of a foreign name entity, usually removing diacritics and often spelled and pronounced differently than the original name. This will always have a Locale of en and cannot occur on places where en is the default Locale.
531|MISSPELL|true|en|Misspelling|A clear misspelling of a place name.
====================================================================================================================
DOC-ID|PLACE-TYPE
1|AIRP|true|de|Flughafen|A place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo; manmade facility maintained for the use of aircraft (airfield, airstrip, landing strip).
